fit_period,winner_state,feature,winner_n,control_n,winner_mean,control_mean,mean_difference,winner_median,control_median,standardized_mean_difference,probability_superiority_minus_half
HISTORICAL_DISCOVERY_2020_2022_ONLY,UNEXPLAINED_WINNERS,volume_ratio20,64180,58363,1.0593802593424673,1.0332837997166775,0.02609645962578977,0.738560116180764,0.7527708899421567,0.023278572803504535,-0.007255703359061505
HISTORICAL_DISCOVERY_2020_2022_ONLY,UNEXPLAINED_WINNERS,prior_volume_contraction_5_20,64180,58363,1.2820252449295504,1.2155292617356115,0.0664959831939389,0.8695709250724162,0.8682349802107885,0.035740410502921066,0.001945748817507864
HISTORICAL_DISCOVERY_2020_2022_ONLY,UNEXPLAINED_WINNERS,rs5_vs_0050,64180,58363,0.005007161587715746,0.004253360228954028,0.0007538013587617184,-0.0021992809824569193,-0.0019261232718895682,0.010063884843380642,-0.0028785528779228797
HISTORICAL_DISCOVERY_2020_2022_ONLY,UNEXPLAINED_WINNERS,rs20_vs_0050,64180,58363,0.039427122566478935,0.0252527807774419,0.014174341789037034,0.008910583451012366,0.0033935081895848374,0.08137232406241965,0.009122390840143546
HISTORICAL_DISCOVERY_2020_2022_ONLY,UNEXPLAINED_WINNERS,rs60_vs_0050,64180,58363,0.14334105205631106,0.07591600287554832,0.06742504918076274,0.060804442552306104,0.01754575756400545,0.19629060528593084,0.05404424806785835
HISTORICAL_DISCOVERY_2020_2022_ONLY,UNEXPLAINED_WINNERS,recent_local_low_distance,64180,58363,0.15966687331413632,0.12234730610504033,0.03731956720909599,0.10874704491725762,0.07951482479784344,0.23643531477498017,0.07609493408846446
HISTORICAL_DISCOVERY_2020_2022_ONLY,UNEXPLAINED_WINNERS,recent_local_high_distance,64180,58363,-0.11617649004396038,-0.09005053581214731,-0.026125954231813076,-0.09299439982768704,-0.07433380084151464,-0.3219165778183285,-0.08008899337293096
HISTORICAL_DISCOVERY_2020_2022_ONLY,UNEXPLAINED_WINNERS,days_since_20d_high,64180,58363,9.201246494234963,9.196220208008498,0.005026286226465615,9.0,9.0,0.0007420228930038876,0.03158378878749679
HISTORICAL_DISCOVERY_2020_2022_ONLY,UNEXPLAINED_WINNERS,days_since_60d_high,64180,58363,25.015316297912122,27.23227044531638,-2.216954147404259,21.0,24.0,-0.10893657334778058,-0.01913085769115891
HISTORICAL_DISCOVERY_2020_2022_ONLY,UNEXPLAINED_WINNERS,recent_breakout_flag,64180,58363,0.12129947023995014,0.12005894145263266,0.0012405287873174797,0.0,0.0,0.003808182391607348,0.39450414454314064
HISTORICAL_DISCOVERY_2020_2022_ONLY,UNEXPLAINED_WINNERS,recent_retest_flag,64180,58363,0.27542848239326895,0.2951698850298991,-0.019741402636630156,0.0,0.0,-0.04372898393512707,0.2861283084520817
HISTORICAL_DISCOVERY_2020_2022_ONLY,UNEXPLAINED_WINNERS,bias5,64180,58363,0.00032720950495917264,0.0011869428567955948,-0.0008597333518364222,-0.00034620070939428427,0.0003637686431641196,-0.022645671324557484,-0.008047387273556084
HISTORICAL_DISCOVERY_2020_2022_ONLY,UNEXPLAINED_WINNERS,bias10,64180,58363,0.003094319957634012,0.003909596395381548,-0.0008152764377475363,0.0008241582370228651,0.0008424599831506896,-0.013341610615196816,-0.0033179646280269703
HISTORICAL_DISCOVERY_2020_2022_ONLY,UNEXPLAINED_WINNERS,bias20,64180,58363,0.010258087418857063,0.01011577903136444,0.00014230838749262203,0.006082792070538967,0.004004152454397225,0.0015031757864219996,-0.0006739038995189905
