time_slice_type,time_slice,left_setup,right_setup,left_winners,right_winners,intersection_winners,intersection_share_all_winners,winner_jaccard
YEAR,2021,MOMENTUM_DIRECTIONAL,N_COMPACT_RETEST_HYPOTHESIS,420,13,1,3.412503412503413e-05,0.0023148148148148147
YEAR,2021,MOMENTUM_DIRECTIONAL,N_RETEST,420,72,1,3.412503412503413e-05,0.002036659877800407
YEAR,2021,MOMENTUM_DIRECTIONAL,V_REVERSAL,420,270,1,3.412503412503413e-05,0.001451378809869376
YEAR,2021,MOMENTUM_DIRECTIONAL,MOMENTUM_DIRECTIONAL,420,420,420,0.014332514332514333,1.0
YEAR,2021,MOMENTUM_DIRECTIONAL,TREND_PULLBACK,420,600,9,0.0003071253071253071,0.008902077151335312
YEAR,2021,MOMENTUM_DIRECTIONAL,CONSOLIDATION_BREAKOUT_V2,420,32,0,0.0,0.0
YEAR,2021,TREND_PULLBACK,N_COMPACT_RETEST_HYPOTHESIS,600,13,0,0.0,0.0
YEAR,2021,TREND_PULLBACK,N_RETEST,600,72,1,3.412503412503413e-05,0.0014903129657228018
YEAR,2021,TREND_PULLBACK,V_REVERSAL,600,270,0,0.0,0.0
YEAR,2021,TREND_PULLBACK,MOMENTUM_DIRECTIONAL,600,420,9,0.0003071253071253071,0.008902077151335312
YEAR,2021,TREND_PULLBACK,TREND_PULLBACK,600,600,600,0.020475020475020474,1.0
YEAR,2021,TREND_PULLBACK,CONSOLIDATION_BREAKOUT_V2,600,32,0,0.0,0.0
YEAR,2021,CONSOLIDATION_BREAKOUT_V2,N_COMPACT_RETEST_HYPOTHESIS,32,13,0,0.0,0.0
YEAR,2021,CONSOLIDATION_BREAKOUT_V2,N_RETEST,32,72,0,0.0,0.0
YEAR,2021,CONSOLIDATION_BREAKOUT_V2,V_REVERSAL,32,270,0,0.0,0.0
YEAR,2021,CONSOLIDATION_BREAKOUT_V2,MOMENTUM_DIRECTIONAL,32,420,0,0.0,0.0
YEAR,2021,CONSOLIDATION_BREAKOUT_V2,TREND_PULLBACK,32,600,0,0.0,0.0
YEAR,2021,CONSOLIDATION_BREAKOUT_V2,CONSOLIDATION_BREAKOUT_V2,32,32,32,0.001092001092001092,1.0
YEAR,2022,N_COMPACT_RETEST_HYPOTHESIS,N_COMPACT_RETEST_HYPOTHESIS,16,16,16,0.0009576250897773521,1.0
YEAR,2022,N_COMPACT_RETEST_HYPOTHESIS,N_RETEST,16,109,16,0.0009576250897773521,0.14678899082568808
YEAR,2022,N_COMPACT_RETEST_HYPOTHESIS,V_REVERSAL,16,241,0,0.0,0.0
YEAR,2022,N_COMPACT_RETEST_HYPOTHESIS,MOMENTUM_DIRECTIONAL,16,306,0,0.0,0.0
YEAR,2022,N_COMPACT_RETEST_HYPOTHESIS,TREND_PULLBACK,16,221,0,0.0,0.0
YEAR,2022,N_COMPACT_RETEST_HYPOTHESIS,CONSOLIDATION_BREAKOUT_V2,16,21,0,0.0,0.0
YEAR,2022,N_RETEST,N_COMPACT_RETEST_HYPOTHESIS,109,16,16,0.0009576250897773521,0.14678899082568808
YEAR,2022,N_RETEST,N_RETEST,109,109,109,0.0065238209241082114,1.0
YEAR,2022,N_RETEST,V_REVERSAL,109,241,0,0.0,0.0
YEAR,2022,N_RETEST,MOMENTUM_DIRECTIONAL,109,306,0,0.0,0.0
YEAR,2022,N_RETEST,TREND_PULLBACK,109,221,0,0.0,0.0
YEAR,2022,N_RETEST,CONSOLIDATION_BREAKOUT_V2,109,21,0,0.0,0.0
YEAR,2022,V_REVERSAL,N_COMPACT_RETEST_HYPOTHESIS,241,16,0,0.0,0.0
YEAR,2022,V_REVERSAL,N_RETEST,241,109,0,0.0,0.0
YEAR,2022,V_REVERSAL,V_REVERSAL,241,241,241,0.014424227914771368,1.0
YEAR,2022,V_REVERSAL,MOMENTUM_DIRECTIONAL,241,306,2,0.00011970313622216902,0.003669724770642202
YEAR,2022,V_REVERSAL,TREND_PULLBACK,241,221,0,0.0,0.0
YEAR,2022,V_REVERSAL,CONSOLIDATION_BREAKOUT_V2,241,21,0,0.0,0.0
YEAR,2022,MOMENTUM_DIRECTIONAL,N_COMPACT_RETEST_HYPOTHESIS,306,16,0,0.0,0.0
YEAR,2022,MOMENTUM_DIRECTIONAL,N_RETEST,306,109,0,0.0,0.0
