stock_id,stock_name,period,comparison,left_n,baseline_n,mean_mfe10_delta,mean_mae10_delta,day5_net_mean_delta,day10_net_mean_delta,up8_before_down5_rate_delta,up10_before_down5_rate_delta,downside_first_rate_delta,day5_net_pf_delta,day10_net_pf_delta
6533,晶心科,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,C_MINUS_B,32,29,0.00772394610663173,0.005424518781737615,-0.0006007506054457636,-0.0013499967216069539,0.1400862068965517,-0.1724137931034483,-0.10129310344827586,0.1329649893907638,-0.06087988074908143
8046,南電,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,A_MINUS_B,86,6,-0.0006891853562153716,-0.008759953967574001,-0.01862177997210023,0.002809897756925514,0.22093023255813954,0.12790697674418605,0.0736434108527132,-0.6198159058328048,0.4621740643783366
8046,南電,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,C_MINUS_B,17,6,-0.04159023071691571,-0.03179885397539117,-0.04123453942888679,-0.04305078358595961,0.0,0.0,0.49019607843137253,-1.0531233635995263,-0.11488799874081375
2603,長榮,STRESS_PREVALENCE_SEEN_NOT_BLIND,A_MINUS_B,44,3,0.05309755391287664,-0.043787217101652204,0.03205386877587668,0.026893129388653264,0.2727272727272727,0.18181818181818182,0.5227272727272727,1.0950967512753442,1.5479571617051153
2603,長榮,STRESS_PREVALENCE_SEEN_NOT_BLIND,C_MINUS_B,27,3,0.03311425570311348,0.015689190953646036,0.0631004422202889,0.009373799787260287,0.2962962962962963,0.2962962962962963,0.14814814814814814,7.038123503604686,0.8525316288370491
3529,力旺,STRESS_PREVALENCE_SEEN_NOT_BLIND,A_MINUS_B,60,0,,,,,,,,,
3529,力旺,STRESS_PREVALENCE_SEEN_NOT_BLIND,C_MINUS_B,6,0,,,,,,,,,
3661,世芯-KY,STRESS_PREVALENCE_SEEN_NOT_BLIND,A_MINUS_B,77,10,-0.01469550959794845,-0.05835547363580307,-0.022170925851516504,-0.026411504639823367,-0.3675324675324676,0.43246753246753245,0.37662337662337664,,
3661,世芯-KY,STRESS_PREVALENCE_SEEN_NOT_BLIND,C_MINUS_B,41,10,-0.05077091233483865,-0.05576970110266208,-0.04063211416945916,-0.05793700942415147,-0.5829268292682928,0.0951219512195122,0.4634146341463415,,
5269,祥碩,STRESS_PREVALENCE_SEEN_NOT_BLIND,A_MINUS_B,73,14,-0.010715896152433728,-0.019716434680680052,-0.013937113618252946,-0.05272318712691949,-0.07729941291585127,-0.21428571428571427,0.16046966731898243,0.0051803526777281506,-0.8460227686992188
5269,祥碩,STRESS_PREVALENCE_SEEN_NOT_BLIND,C_MINUS_B,11,14,-0.03936950568609943,0.008849768528705046,-0.011806666106888707,-0.051277957586205465,-0.21428571428571427,-0.21428571428571427,-0.15584415584415584,-0.3031645531293146,-1.0210671110875946
6104,創惟,STRESS_PREVALENCE_SEEN_NOT_BLIND,A_MINUS_B,79,3,0.009669227501780009,-0.018823970624107525,0.013184749045231493,0.02143555649133214,0.25316455696202533,0.24050632911392406,0.27426160337552746,0.48166337733488696,0.5538360135602216
6104,創惟,STRESS_PREVALENCE_SEEN_NOT_BLIND,C_MINUS_B,7,3,-0.055930705206459236,-0.02851345560088768,-0.029810891701587267,-0.019979763740416344,0.0,0.0,0.6666666666666667,-0.5046763048202516,0.0
6415,矽力*-KY,STRESS_PREVALENCE_SEEN_NOT_BLIND,A_MINUS_B,23,0,,,,,,,,,
6415,矽力*-KY,STRESS_PREVALENCE_SEEN_NOT_BLIND,C_MINUS_B,0,0,,,,,,,,,
6531,愛普*,STRESS_PREVALENCE_SEEN_NOT_BLIND,A_MINUS_B,83,47,0.013701254463750971,-0.003451481006314122,0.0029751683445272195,0.0011519685538519502,0.161497052037939,0.09279671879005384,-0.1527813381184312,0.18454243796853942,0.04650295462394105
6531,愛普*,STRESS_PREVALENCE_SEEN_NOT_BLIND,C_MINUS_B,4,47,0.0062159192595233614,0.02011632485805087,0.027692720400379123,0.027409790004372478,0.37234042553191493,-0.06382978723404255,-0.07446808510638303,0.6975893509274673,0.5779881602881718
6533,晶心科,STRESS_PREVALENCE_SEEN_NOT_BLIND,A_MINUS_B,78,14,-0.007014325908821263,-0.042792680229387155,-0.03660491593540795,-0.04450065897946025,0.10256410256410256,0.08974358974358974,0.48534798534798534,-0.2401562021226997,-0.9436217907116127
6533,晶心科,STRESS_PREVALENCE_SEEN_NOT_BLIND,C_MINUS_B,0,14,,,,,,,,,
8046,南電,STRESS_PREVALENCE_SEEN_NOT_BLIND,A_MINUS_B,90,18,0.05660609787837431,0.02711532449948821,0.03620906464044523,0.030480983076605076,0.36666666666666664,0.25555555555555554,-0.5444444444444445,0.797535580639632,0.6784412741225636
8046,南電,STRESS_PREVALENCE_SEEN_NOT_BLIND,C_MINUS_B,32,18,0.21091566187200533,0.10620594908654798,0.1722501906724488,0.2203942840170181,0.84375,0.84375,-0.84375,32.96437240084867,
