model,fit_period,feature,coefficient_or_weight,direction,intercept,regularization_alpha,training_observations
IC_WEIGHTED_MFE_RANK,HISTORICAL_DISCOVERY_2020_2022,close_vs_ma20,0.009495680001290356,POSITIVE,0.0,,323809
IC_WEIGHTED_MFE_RANK,HISTORICAL_DISCOVERY_2020_2022,close_vs_ma60,0.028024954101400844,POSITIVE,0.0,,323809
IC_WEIGHTED_MFE_RANK,HISTORICAL_DISCOVERY_2020_2022,distance_to_prior20_close_high,-0.02977076132937422,NEGATIVE,0.0,,323809
IC_WEIGHTED_MFE_RANK,HISTORICAL_DISCOVERY_2020_2022,distance_to_prior60_close_high,-0.019580061113278677,NEGATIVE,0.0,,323809
IC_WEIGHTED_MFE_RANK,HISTORICAL_DISCOVERY_2020_2022,drawdown_from_20d_high,-0.042006228773234594,NEGATIVE,0.0,,323809
IC_WEIGHTED_MFE_RANK,HISTORICAL_DISCOVERY_2020_2022,drawdown_from_60d_high,-0.027483235420001455,NEGATIVE,0.0,,323809
IC_WEIGHTED_MFE_RANK,HISTORICAL_DISCOVERY_2020_2022,days_since_20d_high,-0.005915010319191176,NEGATIVE,0.0,,323809
IC_WEIGHTED_MFE_RANK,HISTORICAL_DISCOVERY_2020_2022,days_since_60d_high,-0.025848039295582298,NEGATIVE,0.0,,323809
IC_WEIGHTED_MFE_RANK,HISTORICAL_DISCOVERY_2020_2022,ma5_slope,0.006156469131278114,POSITIVE,0.0,,323809
IC_WEIGHTED_MFE_RANK,HISTORICAL_DISCOVERY_2020_2022,ma10_slope,0.01439112262593398,POSITIVE,0.0,,323809
IC_WEIGHTED_MFE_RANK,HISTORICAL_DISCOVERY_2020_2022,ma20_slope,0.018388993605631163,POSITIVE,0.0,,323809
IC_WEIGHTED_MFE_RANK,HISTORICAL_DISCOVERY_2020_2022,ma60_slope,0.03852608398188389,POSITIVE,0.0,,323809
IC_WEIGHTED_MFE_RANK,HISTORICAL_DISCOVERY_2020_2022,volume_ratio5,-0.005638170976820105,NEGATIVE,0.0,,323809
IC_WEIGHTED_MFE_RANK,HISTORICAL_DISCOVERY_2020_2022,volume_ratio20,-0.003661229418565704,NEGATIVE,0.0,,323809
IC_WEIGHTED_MFE_RANK,HISTORICAL_DISCOVERY_2020_2022,prior_volume_contraction_5_20,0.004127551284724047,POSITIVE,0.0,,323809
IC_WEIGHTED_MFE_RANK,HISTORICAL_DISCOVERY_2020_2022,atr5,0.07904323305508408,POSITIVE,0.0,,323809
IC_WEIGHTED_MFE_RANK,HISTORICAL_DISCOVERY_2020_2022,atr20,0.0834763074442063,POSITIVE,0.0,,323809
IC_WEIGHTED_MFE_RANK,HISTORICAL_DISCOVERY_2020_2022,atr60,0.08009967284597727,POSITIVE,0.0,,323809
IC_WEIGHTED_MFE_RANK,HISTORICAL_DISCOVERY_2020_2022,atr5_atr20,0.006747316500361076,POSITIVE,0.0,,323809
IC_WEIGHTED_MFE_RANK,HISTORICAL_DISCOVERY_2020_2022,range_compression10,0.06466395842874455,POSITIVE,0.0,,323809
IC_WEIGHTED_MFE_RANK,HISTORICAL_DISCOVERY_2020_2022,range_compression20,0.07705066625470003,POSITIVE,0.0,,323809
IC_WEIGHTED_MFE_RANK,HISTORICAL_DISCOVERY_2020_2022,volatility20,0.0761926609434639,POSITIVE,0.0,,323809
IC_WEIGHTED_MFE_RANK,HISTORICAL_DISCOVERY_2020_2022,rs5_vs_0050,-0.002368886153603652,NEGATIVE,0.0,,323809
IC_WEIGHTED_MFE_RANK,HISTORICAL_DISCOVERY_2020_2022,rs20_vs_0050,0.015060236998408177,POSITIVE,0.0,,323809
IC_WEIGHTED_MFE_RANK,HISTORICAL_DISCOVERY_2020_2022,rs60_vs_0050,0.03647222942903857,POSITIVE,0.0,,323809
IC_WEIGHTED_MFE_RANK,HISTORICAL_DISCOVERY_2020_2022,recent_breakout_flag,0.0021700529591654,POSITIVE,0.0,,323809
IC_WEIGHTED_MFE_RANK,HISTORICAL_DISCOVERY_2020_2022,recent_retest_flag,-0.009874501280614408,NEGATIVE,0.0,,323809
IC_WEIGHTED_MFE_RANK,HISTORICAL_DISCOVERY_2020_2022,recent_local_low_distance,0.05540262453644596,POSITIVE,0.0,,323809
IC_WEIGHTED_MFE_RANK,HISTORICAL_DISCOVERY_2020_2022,recent_local_high_distance,-0.042006228773234594,NEGATIVE,0.0,,323809
IC_WEIGHTED_MFE_RANK,HISTORICAL_DISCOVERY_2020_2022,bias5,-0.006337327066677716,NEGATIVE,0.0,,323809
IC_WEIGHTED_MFE_RANK,HISTORICAL_DISCOVERY_2020_2022,bias10,-0.0004130400035408855,NEGATIVE,0.0,,323809
IC_WEIGHTED_MFE_RANK,HISTORICAL_DISCOVERY_2020_2022,bias20,0.009495680001290356,POSITIVE,0.0,,323809
