stock_id,stock_name,period,threshold_id,threshold_return,threshold_horizon_sessions,episode_ordinal,signal_date,entry_date,first_hit_day,cooldown_sessions,blocked_through_calendar_index,mfe10,mae10
1476,儒鴻,HISTORICAL_DISCOVERY,UP10_10D,0.1,10,19,20220831,20220901,7,10,901,0.11852704257767543,-0.0034522439585730202
1476,儒鴻,HISTORICAL_DISCOVERY,UP10_10D,0.1,10,20,20221014,20221017,8,10,931,0.11811023622047245,0.011811023622047223
1476,儒鴻,HISTORICAL_DISCOVERY,UP15_10D,0.15,10,1,20200320,20200323,3,10,300,0.19714964370546317,-0.04513064133016631
1476,儒鴻,HISTORICAL_DISCOVERY,UP15_10D,0.15,10,2,20200512,20200513,10,10,334,0.17100371747211907,-0.022304832713754608
1476,儒鴻,HISTORICAL_DISCOVERY,UP15_10D,0.15,10,3,20200728,20200729,9,10,387,0.17956656346749233,0.04489164086687314
1476,儒鴻,HISTORICAL_DISCOVERY,UP15_10D,0.15,10,4,20210302,20210303,7,10,530,0.15537383177570097,-0.017523364485981352
1476,儒鴻,HISTORICAL_DISCOVERY,UP15_10D,0.15,10,5,20210426,20210427,10,10,567,0.1558441558441559,-0.020408163265306145
1476,儒鴻,HISTORICAL_DISCOVERY,UP15_10D,0.15,10,6,20210514,20210517,6,10,580,0.1753130590339893,-0.00536672629695889
1476,儒鴻,2020,UP5_5D,0.05,5,1,20200303,20200304,2,10,287,0.050000000000000044,-0.24857142857142855
1476,儒鴻,2020,UP5_5D,0.05,5,2,20200319,20200320,4,10,299,0.1283783783783783,-0.09459459459459463
1476,儒鴻,2020,UP5_5D,0.05,5,3,20200407,20200408,2,10,310,0.15537848605577698,0.043824701195219085
1476,儒鴻,2020,UP5_5D,0.05,5,4,20200423,20200424,5,10,322,0.07913669064748197,-0.01618705035971224
1476,儒鴻,2020,UP5_5D,0.05,5,5,20200514,20200515,3,10,336,0.22495274102079388,0.018903591682419618
1476,儒鴻,2020,UP5_5D,0.05,5,6,20200601,20200602,5,10,348,0.11287758346581866,-0.015898251192368873
1476,儒鴻,2020,UP5_5D,0.05,5,7,20200723,20200724,5,10,384,0.10090361445783125,-0.02108433734939763
1476,儒鴻,2020,UP5_5D,0.05,5,8,20200807,20200810,3,10,395,0.06351351351351342,0.008108108108108025
1476,儒鴻,2020,UP5_5D,0.05,5,9,20201005,20201006,5,10,434,0.08005617977528079,-0.014044943820224698
1476,儒鴻,2020,UP5_5D,0.05,5,10,20201029,20201030,4,10,451,0.12668463611859848,0.020215633423180668
1476,儒鴻,2020,UP8_10D,0.08,10,1,20200319,20200320,4,10,299,0.1283783783783783,-0.09459459459459463
1476,儒鴻,2020,UP8_10D,0.08,10,2,20200407,20200408,5,10,310,0.15537848605577698,0.043824701195219085
1476,儒鴻,2020,UP8_10D,0.08,10,3,20200424,20200427,4,10,323,0.08303249097472931,-0.012635379061371799
1476,儒鴻,2020,UP8_10D,0.08,10,4,20200512,20200513,7,10,334,0.17100371747211907,-0.022304832713754608
1476,儒鴻,2020,UP8_10D,0.08,10,5,20200528,20200529,7,10,346,0.1217948717948718,-0.009615384615384581
1476,儒鴻,2020,UP8_10D,0.08,10,6,20200722,20200723,10,10,383,0.10889570552147232,-0.0030674846625766694
1476,儒鴻,2020,UP8_10D,0.08,10,7,20200806,20200807,4,10,394,0.08402203856749302,0.019283746556473913
1476,儒鴻,2020,UP8_10D,0.08,10,8,20200924,20200925,10,10,429,0.09857142857142853,0.0028571428571428914
