model,fit_period,feature,coefficient_or_weight,direction,intercept,regularization_alpha,training_observations,comparison_to_final_sign_agreement,comparison_to_final_cosine_similarity
LINEAR_RIDGE_NET_RETURN,HISTORICAL_DISCOVERY_2020_2022,bias10,-0.0011687040436224579,NEGATIVE,-0.007643726911612807,100.0,323809,1.0,0.9999999999999999
LINEAR_RIDGE_NET_RETURN,HISTORICAL_DISCOVERY_2020_2022,bias20,-0.0018953361266145872,NEGATIVE,-0.007643726911612807,100.0,323809,1.0,0.9999999999999999
IC_WEIGHTED_LINEAR_RANK,HISTORICAL_DISCOVERY_2020_2022,return_3,-0.012365136871638312,NEGATIVE,0.0,,323809,1.0,0.9999999999999999
IC_WEIGHTED_LINEAR_RANK,HISTORICAL_DISCOVERY_2020_2022,return_5,-0.013540645565909823,NEGATIVE,0.0,,323809,1.0,0.9999999999999999
IC_WEIGHTED_LINEAR_RANK,HISTORICAL_DISCOVERY_2020_2022,return_10,-0.015544080230044407,NEGATIVE,0.0,,323809,1.0,0.9999999999999999
IC_WEIGHTED_LINEAR_RANK,HISTORICAL_DISCOVERY_2020_2022,return_20,-0.026762249605590482,NEGATIVE,0.0,,323809,1.0,0.9999999999999999
IC_WEIGHTED_LINEAR_RANK,HISTORICAL_DISCOVERY_2020_2022,return_60,-0.02979326240275154,NEGATIVE,0.0,,323809,1.0,0.9999999999999999
IC_WEIGHTED_LINEAR_RANK,HISTORICAL_DISCOVERY_2020_2022,close_vs_ma5,-0.012064189785792604,NEGATIVE,0.0,,323809,1.0,0.9999999999999999
IC_WEIGHTED_LINEAR_RANK,HISTORICAL_DISCOVERY_2020_2022,close_vs_ma10,-0.014390928187647313,NEGATIVE,0.0,,323809,1.0,0.9999999999999999
IC_WEIGHTED_LINEAR_RANK,HISTORICAL_DISCOVERY_2020_2022,close_vs_ma20,-0.02183086343685248,NEGATIVE,0.0,,323809,1.0,0.9999999999999999
IC_WEIGHTED_LINEAR_RANK,HISTORICAL_DISCOVERY_2020_2022,close_vs_ma60,-0.03096384730843277,NEGATIVE,0.0,,323809,1.0,0.9999999999999999
IC_WEIGHTED_LINEAR_RANK,HISTORICAL_DISCOVERY_2020_2022,distance_to_prior20_close_high,0.010027315777071,POSITIVE,0.0,,323809,1.0,0.9999999999999999
