row_type,model,signal_date,period,n_compact_appeared,n_compact_count,stock_code,score,rank,rank_percentile,in_top5,in_top10,in_top20,outcome_evaluable,winner,net_return
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200701,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200702,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200703,HISTORICAL_DISCOVERY,True,1,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200706,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200707,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200708,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200709,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200710,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200713,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200714,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200715,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200716,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200717,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200720,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200721,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200722,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200723,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200724,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200727,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200728,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200729,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200730,HISTORICAL_DISCOVERY,True,4,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200731,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200803,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200804,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200805,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200806,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200807,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200810,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200811,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200812,HISTORICAL_DISCOVERY,True,1,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200813,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200814,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200817,HISTORICAL_DISCOVERY,True,1,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200818,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200819,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200820,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200821,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200824,HISTORICAL_DISCOVERY,True,1,,,,,,,,,,
