time_slice_type,time_slice,model,spread,cluster_unit,bootstrap_reps,seed,cluster_count,point_estimate,ci95_low,ci95_high,iid_trade_bootstrap
YEAR,2021,LINEAR_RIDGE_NET_RETURN,top10_minus_bottom10_net_spread,calendar_month,5000,384492561,12,0.01997766671604939,0.009975790330934374,0.029133315080255486,False
YEAR,2021,LINEAR_RIDGE_NET_RETURN,top_decile_minus_bottom_decile_net_spread,signal_date,5000,2567660161,244,0.012357669206999744,0.00918282803172502,0.01547334569767768,False
YEAR,2021,LINEAR_RIDGE_NET_RETURN,top_decile_minus_bottom_decile_net_spread,calendar_month,5000,2270678590,12,0.012357669206999744,0.0035042855646376437,0.02116123071941601,False
YEAR,2022,LINEAR_RIDGE_NET_RETURN,top10_minus_universe_net_spread,signal_date,5000,1522235480,246,0.006739958591538323,0.0041018819788372395,0.009353920428244863,False
YEAR,2022,LINEAR_RIDGE_NET_RETURN,top10_minus_universe_net_spread,calendar_month,5000,3367146575,12,0.006739958591538323,0.00038930076490967925,0.012844272254211664,False
YEAR,2022,LINEAR_RIDGE_NET_RETURN,top10_minus_bottom10_net_spread,signal_date,5000,2614888758,246,0.0174188492456656,0.013030254719845438,0.02190355503325889,False
YEAR,2022,LINEAR_RIDGE_NET_RETURN,top10_minus_bottom10_net_spread,calendar_month,5000,1948244960,12,0.0174188492456656,0.0091781434388463,0.025641060299113953,False
YEAR,2022,LINEAR_RIDGE_NET_RETURN,top_decile_minus_bottom_decile_net_spread,signal_date,5000,1791331177,246,0.011795668597915235,0.008844154254622542,0.014719305887710801,False
YEAR,2022,LINEAR_RIDGE_NET_RETURN,top_decile_minus_bottom_decile_net_spread,calendar_month,5000,596956355,12,0.011795668597915235,0.00490170874837207,0.01810344997266135,False
YEAR,2023,LINEAR_RIDGE_NET_RETURN,top10_minus_universe_net_spread,signal_date,5000,3347080705,239,0.005424214049463308,0.0030781898655411317,0.007777946289625382,False
YEAR,2023,LINEAR_RIDGE_NET_RETURN,top10_minus_universe_net_spread,calendar_month,5000,3021500224,12,0.005424214049463308,0.00046802454649715346,0.010397980514261477,False
YEAR,2023,LINEAR_RIDGE_NET_RETURN,top10_minus_bottom10_net_spread,signal_date,5000,2028290504,239,0.010573241212414037,0.0065216657840821415,0.014624064456317781,False
YEAR,2023,LINEAR_RIDGE_NET_RETURN,top10_minus_bottom10_net_spread,calendar_month,5000,4071952710,12,0.010573241212414037,0.0046360607663384025,0.016051701971314784,False
YEAR,2023,LINEAR_RIDGE_NET_RETURN,top_decile_minus_bottom_decile_net_spread,signal_date,5000,3395636255,239,0.009163722126600318,0.00656323135836952,0.011695555329551147,False
YEAR,2023,LINEAR_RIDGE_NET_RETURN,top_decile_minus_bottom_decile_net_spread,calendar_month,5000,3390358798,12,0.009163722126600318,0.004806015112739359,0.01378688594058128,False
YEAR,2024,LINEAR_RIDGE_NET_RETURN,top10_minus_universe_net_spread,signal_date,5000,229603337,242,0.012742555502987148,0.009928285524127948,0.015635606759207225,False
YEAR,2024,LINEAR_RIDGE_NET_RETURN,top10_minus_universe_net_spread,calendar_month,5000,3278418691,12,0.012742555502987148,0.004878631916438978,0.0218115129195365,False
YEAR,2024,LINEAR_RIDGE_NET_RETURN,top10_minus_bottom10_net_spread,signal_date,5000,88724802,242,0.021141172090186792,0.016338914373029128,0.025937701545807636,False
YEAR,2024,LINEAR_RIDGE_NET_RETURN,top10_minus_bottom10_net_spread,calendar_month,5000,95861659,12,0.021141172090186792,0.010164743659411732,0.03292745883983125,False
YEAR,2024,LINEAR_RIDGE_NET_RETURN,top_decile_minus_bottom_decile_net_spread,signal_date,5000,2565961458,242,0.01176842655085523,0.008750823225657678,0.01466440538432693,False
YEAR,2024,LINEAR_RIDGE_NET_RETURN,top_decile_minus_bottom_decile_net_spread,calendar_month,5000,908397514,12,0.01176842655085523,0.0036864318707569756,0.021796350438113912,False
YEAR,2025,LINEAR_RIDGE_NET_RETURN,top10_minus_universe_net_spread,signal_date,5000,1422758814,243,-9.23539185999743e-05,-0.002720350920579997,0.002335912363483377,False
YEAR,2025,LINEAR_RIDGE_NET_RETURN,top10_minus_universe_net_spread,calendar_month,5000,1985617139,12,-9.23539185999743e-05,-0.006062065435986982,0.005839569945575022,False
YEAR,2025,LINEAR_RIDGE_NET_RETURN,top10_minus_bottom10_net_spread,signal_date,5000,3100626136,243,0.001741954118600388,-0.0027286334281157736,0.00623201834682061,False
YEAR,2025,LINEAR_RIDGE_NET_RETURN,top10_minus_bottom10_net_spread,calendar_month,5000,4205493952,12,0.001741954118600388,-0.007334932901249755,0.009736748337214359,False
YEAR,2025,LINEAR_RIDGE_NET_RETURN,top_decile_minus_bottom_decile_net_spread,signal_date,5000,869293308,243,0.004268843296453664,0.0011248597258915435,0.007307856819190293,False
YEAR,2025,LINEAR_RIDGE_NET_RETURN,top_decile_minus_bottom_decile_net_spread,calendar_month,5000,4162075207,12,0.004268843296453664,-0.0018815360168428533,0.010087389359272787,False
OVERALL,2020_2025,LINEAR_RIDGE_NET_RETURN,top10_minus_universe_net_spread,signal_date,5000,2331513371,1459,0.005580574139517268,0.004563002735069908,0.006629916191694655,False
OVERALL,2020_2025,LINEAR_RIDGE_NET_RETURN,top10_minus_universe_net_spread,calendar_month,5000,3013762878,72,0.005580574139517268,0.002929580917668232,0.008362934056301683,False
OVERALL,2020_2025,LINEAR_RIDGE_NET_RETURN,top10_minus_bottom10_net_spread,signal_date,5000,1298491939,1459,0.013972483775790539,0.012151083019525775,0.015780219453556857,False
OVERALL,2020_2025,LINEAR_RIDGE_NET_RETURN,top10_minus_bottom10_net_spread,calendar_month,5000,542525329,72,0.013972483775790539,0.010156843160938143,0.017844024178656843,False
OVERALL,2020_2025,LINEAR_RIDGE_NET_RETURN,top_decile_minus_bottom_decile_net_spread,signal_date,5000,1286071976,1459,0.009987730993200907,0.008781657794838891,0.011153297353802235,False
OVERALL,2020_2025,LINEAR_RIDGE_NET_RETURN,top_decile_minus_bottom_decile_net_spread,calendar_month,5000,1632640809,72,0.009987730993200907,0.00705237232225214,0.0128823025026087,False
