boundary_source,resolution,feature,boundary_number,probability,boundary_value,finite_discovery_observations,entry_gap_denominator,boundary_sha256
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,return_10,2,0.2,-0.06068601583113453,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,return_10,3,0.3,-0.034848484848484795,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,return_10,4,0.4,-0.014778325123152691,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,return_10,5,0.5,0.0025445292620864812,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,return_10,6,0.6,0.01990632318501162,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,return_10,7,0.7,0.04166666666666674,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,return_10,8,0.8,0.07333333333333347,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,return_10,9,0.9,0.1339285714285714,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,return_20,1,0.1,-0.13381364981007893,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,return_20,2,0.2,-0.07757248709693901,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,return_20,3,0.3,-0.04139433551198257,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,return_20,4,0.4,-0.01340033500837523,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,return_20,5,0.5,0.01200000000000001,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,return_20,6,0.6,0.03959076976154774,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,return_20,7,0.7,0.07466063348416285,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,return_20,8,0.8,0.1255411255411254,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,return_20,9,0.9,0.21994915650206584,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,bias20_change_3d,1,0.1,-0.0651933633120825,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,bias20_change_3d,2,0.2,-0.03849041311409294,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,bias20_change_3d,3,0.3,-0.023053817278384493,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,bias20_change_3d,4,0.4,-0.011664922773082152,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,bias20_change_3d,5,0.5,-0.0023400801505527036,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,bias20_change_3d,6,0.6,0.006662341947425209,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
