feature,outcome,discovery_observations,same_day_spearman,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,raw_p_value,top_quintile_mean,bottom_quintile_mean,top_minus_bottom_effect,bh_fdr_q_value
dealer_net_volume_ratio_5d,mae10,15100,0.007345085713489272,-0.009283735873960053,0.024345873889323195,0.394,-0.07662981129948929,-0.07814382279881385,0.0015140114993245635,0.6041333333333334
dealer_net_volume_ratio_5d,mfe10,15100,0.021061248103776267,0.00529787081354654,0.037159449786492105,0.016,0.10352575477663621,0.09541583406540552,0.008109920711230692,0.0736
dealer_net_volume_ratio_5d,net_return,15100,0.013762913555853247,-0.0020295184167071502,0.030375868824483225,0.086,-0.0044463978065181365,-0.006792487053636795,0.002346089247118659,0.2602631578947368
dealer_consecutive_buy_days_5d,path_success,15100,0.01510591584061956,-0.002622788536708307,0.0309563821266352,0.092,0.35973936899862824,0.38235294117647056,-0.022613572177842323,0.27025
dealer_consecutive_buy_days_5d,downside_first,15100,-0.015116586363216356,-0.03188223162956956,0.0023036256050476367,0.106,0.553840877914952,0.5465686274509803,0.007272250463971619,0.2875
dealer_consecutive_buy_days_5d,mae10,15100,0.030897598851046863,0.014032409527584123,0.048492093459501444,0.0,-0.07515539813554391,-0.08268826161496554,0.007532863479421628,0.0
dealer_consecutive_buy_days_5d,mfe10,15100,0.011517177886972459,-0.0063379205375281664,0.029662123344904482,0.194,0.09871097830735256,0.11260410985501448,-0.013893131547661919,0.378135593220339
dealer_consecutive_buy_days_5d,net_return,15100,0.01155624190580078,-0.0064589967478738235,0.02761579222131754,0.186,-0.006468083536932924,-0.0020207402358406127,-0.004447343301092311,0.37526315789473685
dealer_sign_persistence_5d,path_success,15100,0.015789388601065133,-0.0004758317824418485,0.032328718747740556,0.058,0.36268708666898714,0.338166002174701,0.02452108449428614,0.19617647058823529
dealer_sign_persistence_5d,downside_first,15100,-0.011405140684138787,-0.027703556801636126,0.004125525087630951,0.16,0.5464671075530804,0.5592606016672708,-0.012793494114190396,0.3407407407407408
dealer_sign_persistence_5d,mae10,15100,0.001490626046391132,-0.01604050826311984,0.017680371231819668,0.848,-0.0762246291804634,-0.07835318491313477,0.002128555732671372,0.9199999999999999
dealer_sign_persistence_5d,mfe10,15100,0.022846551627593064,0.006379689273755955,0.03899984498531613,0.006,0.10342441684394373,0.09203771109797307,0.011386705745970657,0.0345
dealer_sign_persistence_5d,net_return,15100,0.011389558403605752,-0.004978371536124161,0.027828902059008967,0.174,-0.005071328541517486,-0.009125820295739096,0.00405449175422161,0.36381818181818176
margin_balance_change_volume_ratio_1d,path_success,15100,-0.0026700890077020227,-0.020747151796078035,0.014550357847714685,0.796,0.35982849604221634,0.36105610561056106,-0.001227609568344723,0.8718095238095239
margin_balance_change_volume_ratio_1d,downside_first,15100,0.008032049047106514,-0.00784468721674086,0.026082132814628137,0.356,0.5514511873350924,0.5448844884488449,0.006566698886247502,0.5686111111111111
margin_balance_change_volume_ratio_1d,mae10,15100,0.007147659741186952,-0.010201855691036533,0.022958478256790458,0.41,-0.0767696445451112,-0.08047151445234631,0.003701869907235103,0.6203947368421052
margin_balance_change_volume_ratio_1d,mfe10,15100,-0.0032107680099600195,-0.020720804475169437,0.014691270690271008,0.74,0.09905583248558636,0.10033524154499869,-0.0012794090594123314,0.834313725490196
margin_balance_change_volume_ratio_1d,net_return,15100,-0.005737477241925269,-0.022823803410983085,0.011636135437184822,0.468,-0.006665057972612496,-0.006056611469577423,-0.0006084465030350731,0.6870886075949366
margin_balance_change_volume_ratio_3d,path_success,15100,-2.5308876209915363e-05,-0.01628435867068485,0.0160221215399607,0.992,0.3632464533157374,0.34778292521508936,0.01546352810064805,0.994
margin_balance_change_volume_ratio_3d,downside_first,15100,0.00895227594679261,-0.008381317480528293,0.025937135590836175,0.298,0.5486638073243154,0.5559232296492389,-0.007259422324923492,0.5227272727272727
margin_balance_change_volume_ratio_3d,mae10,15100,0.0029937965349124463,-0.01478871990537572,0.019045796094111226,0.72,-0.07709577634275402,-0.08196265696456333,0.0048668806218093025,0.828
margin_balance_change_volume_ratio_3d,mfe10,15100,-0.0020438073189574285,-0.018331595812566777,0.016071755372307584,0.792,0.10123171180298296,0.09585289737426166,0.005378814428721304,0.8718095238095239
margin_balance_change_volume_ratio_3d,net_return,15100,-0.012188379636652095,-0.027546711790008532,0.004125665932818895,0.134,-0.006188288200112003,-0.007445195328820902,0.0012569071287088993,0.29634615384615387
margin_balance_change_volume_ratio_5d,path_success,15100,0.005833888549972471,-0.011282745914540433,0.022795607184199738,0.488,0.36435643564356435,0.3475811795891319,0.016775256054432475,0.6871951219512196
margin_balance_change_volume_ratio_5d,downside_first,15100,0.00632721492228178,-0.011070008703452084,0.023800925694768365,0.49,0.5521452145214522,0.5536779324055666,-0.001532717884114465,0.6871951219512196
margin_balance_change_volume_ratio_5d,mae10,15100,0.01227642994207577,-0.006196882384863622,0.0308655735298003,0.186,-0.07564645890215385,-0.08307456459605343,0.007428105693899581,0.37526315789473685
margin_balance_change_volume_ratio_5d,mfe10,15100,0.009713174526261203,-0.006927571148964544,0.02756489667994292,0.224,0.10259105377031498,0.09695976557123587,0.0056312881990791125,0.42933333333333334
margin_balance_change_volume_ratio_5d,net_return,15100,-0.006041224644031323,-0.024344898789203973,0.010728717226117596,0.502,-0.005810593853121156,-0.0073780519218281755,0.0015674580687070191,0.6900000000000001
