stock_id,name,signal_date,entry_date,entry_price,baseline_status,baseline_trade_completed,forward_1d_date,forward_1d_close,forward_1d_close_return,forward_1d_mfe,forward_1d_mae,forward_1d_observed_stock_bars,forward_1d_complete_stock_window,forward_3d_date,forward_3d_close,forward_3d_close_return,forward_3d_mfe,forward_3d_mae,forward_3d_observed_stock_bars,forward_3d_complete_stock_window,forward_5d_date,forward_5d_close,forward_5d_close_return,forward_5d_mfe,forward_5d_mae,forward_5d_observed_stock_bars,forward_5d_complete_stock_window,forward_8d_date,forward_8d_close,forward_8d_close_return,forward_8d_mfe,forward_8d_mae,forward_8d_observed_stock_bars,forward_8d_complete_stock_window
1303,南亞,20260108,20260109,68.5,entered,True,20260109,61.9,-0.09635036496350369,0.021897810218978186,-0.1021897810218978,1,True,20260113,62.2,-0.09197080291970794,0.021897810218978186,-0.1021897810218978,3,True,20260115,69.7,0.01751824817518255,0.021897810218978186,-0.10510948905109496,5,True,20260120,76.4,0.11532846715328482,0.18394160583941588,-0.10510948905109496,8,True
1304,台聚,20230110,20230111,22.85,entered,True,20230111,23.3,0.01969365426695835,0.02188183807439814,-0.006564551422319598,1,True,20230113,23.35,0.02188183807439814,0.026258205689277725,-0.006564551422319598,3,True,20230117,23.45,0.026258205689277725,0.0393873085339167,-0.006564551422319598,5,True,20230201,23.9,0.045951859956236296,0.06345733041575485,-0.006564551422319598,8,True
1305,華夏,20230110,20230111,28.05,entered,True,20230111,28.3,0.00891265597147961,0.01426024955436711,-0.0089126559714795,1,True,20230113,28.05,0.0,0.017825311942959,-0.0089126559714795,3,True,20230117,29.1,0.03743315508021383,0.04099821746880572,-0.0089126559714795,5,True,20230201,29.2,0.04099821746880572,0.05882352941176472,-0.0089126559714795,8,True
1307,三芳,20250221,20250224,49.8,entered,True,20250224,52.2,0.048192771084337505,0.07429718875502012,-0.007028112449799062,1,True,20250226,53.5,0.07429718875502012,0.12851405622489964,-0.007028112449799062,3,True,20250303,51.2,0.028112449799196915,0.12851405622489964,-0.007028112449799062,5,True,20250306,52.4,0.052208835341365445,0.12851405622489964,-0.007028112449799062,8,True
1316,上曜,20220118,20220119,24.65,entered,True,20220119,26.65,0.08113590263691695,0.10547667342799194,-0.006085192697768749,1,True,20220121,24.1,-0.022312373225152005,0.12576064908722118,-0.024340770791074995,3,True,20220125,23.55,-0.04462474645030412,0.12576064908722118,-0.05679513184584173,5,True,20220208,24.2,-0.018255578093306246,0.12576064908722118,-0.0831643002028396,8,True
1319,東陽,20220530,20220531,40.05,entered,True,20220531,40.0,-0.0012484394506865337,0.006242197253433224,-0.024968789013732784,1,True,20220602,41.1,0.02621722846441954,0.0362047440699127,-0.024968789013732784,3,True,20220607,40.65,0.014981273408239737,0.048689138576779145,-0.024968789013732784,5,True,20220610,41.5,0.0362047440699127,0.0586766541822723,-0.024968789013732784,8,True
1319,東陽,20220818,20220819,53.2,entered,True,20220819,52.1,-0.020676691729323293,0.011278195488721776,-0.03007518796992481,1,True,20220823,51.5,-0.03195488721804518,0.011278195488721776,-0.05639097744360899,3,True,20220825,52.1,-0.020676691729323293,0.011278195488721776,-0.05639097744360899,5,True,20220830,52.5,-0.013157894736842146,0.043233082706766846,-0.05639097744360899,8,True
1319,東陽,20221201,20221202,49.3,entered,True,20221202,48.75,-0.011156186612576002,0.008113590263691739,-0.013184584178498993,1,True,20221206,48.65,-0.013184584178498993,0.008113590263691739,-0.02535496957403649,3,True,20221208,48.15,-0.02332657200811361,0.008113590263691739,-0.05273833671399586,5,True,20221213,47.35,-0.03955375253549687,0.008113590263691739,-0.05273833671399586,8,True
1319,東陽,20230517,20230518,50.9,entered,True,20230518,49.55,-0.026522593320235766,0.003929273084479323,-0.03045186640471509,1,True,20230522,51.1,0.003929273084479323,0.011787819253438192,-0.03536345776031424,3,True,20230524,50.2,-0.013752455795677743,0.011787819253438192,-0.03536345776031424,5,True,20230529,49.9,-0.01964636542239684,0.011787819253438192,-0.03536345776031424,8,True
1319,東陽,20230605,20230606,51.8,entered,True,20230606,50.2,-0.030888030888030826,0.0,-0.03474903474903468,1,True,20230608,50.3,-0.02895752895752901,0.0,-0.03571428571428559,3,True,20230612,50.9,-0.01737451737451734,0.0,-0.03571428571428559,5,True,20230615,54.2,0.04633204633204646,0.050193050193050315,-0.03571428571428559,8,True
