stock_id,name,signal_date,entry_date,entry_price,exit_reason,actual_exit_date,actual_exit_price,counterfactual_day8_date,counterfactual_day8_close,actual_return,counterfactual_day8_return,difference,actual_net_return_slippage_0_1,counterfactual_day8_net_return_slippage_0_1,net_difference,actual_nonpositive_to_day8_positive,day8_available
1524,耿鼎,20240227,20240229,36.0,Close Confirmed Stop,20240306,34.65,20240311,32.85,-0.03750000000000009,-0.08749999999999991,-0.04999999999999982,-0.043041370473620624,-0.09278814609025172,-0.0497467756166311,False,True
1524,耿鼎,20240401,20240402,37.2,Day 5 Weakness,20240411,35.55,20240415,36.1,-0.0443548387096776,-0.029569892473118364,0.014784946236559238,-0.04988050031836129,-0.035197692432819366,0.014682807885541924,False,True
1524,耿鼎,20240920,20240923,34.75,Day 8 Time Stop,20241004,34.9,20241004,34.9,0.004316546762589857,0.004316546762589857,0.0,-0.001491452931545535,-0.001491452931545535,0.0,False,True
1524,耿鼎,20241212,20241213,41.45,Close Confirmed Stop,20241216,39.85,20241224,38.7,-0.0386007237635706,-0.06634499396863691,-0.027744270205066313,-0.04413748246692627,-0.07174860409303188,-0.027611121626105614,False,True
1529,樂事綠能,20230220,20230221,25.7,Close Confirmed Stop,20230301,24.25,20230306,24.7,-0.05642023346303504,-0.03891050583657585,0.017509727626459193,-0.0618812121881675,-0.044446781289820936,0.017434430898346565,False,True
1529,樂事綠能,20230414,20230417,37.5,Trailing Stop,20230421,39.35,20230426,39.75,0.04933333333333345,0.06000000000000005,0.010666666666666602,0.043251794628882526,0.05385956338994597,0.010607768761063445,False,True
1529,樂事綠能,20240325,20240326,36.4,Close Confirmed Stop,20240328,35.3,20240408,34.2,-0.030219780219780223,-0.060439560439560336,-0.030219780219780112,-0.03584464366218912,-0.06585864352215844,-0.030013999859969318,False,True
1532,勤美,20240412,20240415,41.15,Day 8 Time Stop,20240424,43.4,20240424,43.4,0.054678007290400954,0.054678007290400954,0.0,0.04854961725391429,0.04854961725391429,0.0,False,True
1533,車王電,20230621,20230626,65.0,Trailing Stop,20230627,64.7,20230705,68.8,-0.004615384615384577,0.05846153846153834,0.06307692307692292,-0.010367316388045271,0.052325125183436606,0.06269244157148188,True,True
1536,和大,20240712,20240715,75.0,Close Confirmed Stop,20240718,70.0,20240726,62.5,-0.06666666666666665,-0.16666666666666663,-0.09999999999999998,-0.07207462894507836,-0.17150116336594418,-0.09942653442086581,False,True
1536,和大,20241107,20241108,62.0,Close Confirmed Stop,20241113,58.6,20241119,59.5,-0.05483870967741933,-0.040322580645161255,0.014516129032258074,-0.06030589090696625,-0.045857909041185946,0.014447981865780307,False,True
1536,和大,20250218,20250219,83.1,Trailing Stop,20250303,83.0,20250303,79.5,-0.001203369434416346,-0.04332129963898912,-0.04211793020457277,-0.007003023841845169,-0.048853064412090384,-0.04185004057024522,False,True
1536,和大,20250811,20250812,65.6,Day 8 Time Stop,20250821,63.3,20250821,63.3,-0.03506097560975607,-0.03506097560975607,0.0,-0.040679602969651354,-0.040679602969651354,0.0,False,True
1539,巨庭,20220819,20220822,47.0,Day 8 Time Stop,20220831,48.35,20220831,48.35,0.028723404255319274,0.028723404255319274,0.0,0.022788213871486877,0.022788213871486877,0.0,False,True
1560,中砂,20220530,20220531,155.0,Close Confirmed Stop,20220606,154.0,20220610,168.5,-0.006451612903225823,0.08709677419354844,0.09354838709677427,-0.012205429030325439,0.0808182184313708,0.09302364746169624,True,True
1560,中砂,20230613,20230614,130.0,Day 5 Weakness,20230621,128.0,20230627,124.0,-0.01538461538461533,-0.0461538461538461,-0.03076923076923077,-0.02108550225603574,-0.051647357048149864,-0.030561854792114124,False,True
