slice_type,slice,row_type,cohort,observations,evaluable_observations,signal_dates,unique_stocks,success_rate,downside_first_rate,timeout_rate,day5_positive_rate,day10_positive_rate,mfe5_mean,mfe10_mean,mae5_mean,mae10_mean,gross_mean,net_mean,gross_pf,net_pf,delta_success_rate,delta_downside_first_rate,delta_mae10_mean,delta_mfe10_mean,delta_net_mean,delta_net_pf
YEAR,2024,COHORT,STAGE_A_AND_CZSC,2021,2007,242,283,0.3452914798206278,0.57847533632287,0.07623318385650224,0.4444444444444444,0.4225211758844046,0.0505806685539237,0.08912804936771482,-0.05180769433716625,-0.07968665521655648,-0.0038052012568557665,-0.009569819093155416,0.9138781464924438,0.798409819431111,,,,,,
YEAR,2024,COHORT,STAGE_A_WITHOUT_CZSC,5239,5217,242,384,0.3525014376078206,0.5685259727812919,0.07897258961088749,0.4485336400230017,0.44009967414222734,0.05258752534743632,0.09248083140195108,-0.05098657787940231,-0.07971308840880015,-0.0019117914214252004,-0.007687814091237854,0.955766172406618,0.8346194918496189,,,,,,
YEAR,2024,DELTA,CZSC_ONLY_ALL_MINUS_STAGE_A_TOP30,,,,,,,,,,,,,,,,,,-0.1211784659319175,-0.139846777705479,0.025592950075871285,-0.03657313155476297,-0.0005033785338292105,-0.06560339741242516
YEAR,2024,DELTA,STAGE_A_AND_CZSC_MINUS_STAGE_A_TOP30,,,,,,,,,,,,,,,,,,-0.005206859049804113,0.007185192358307391,1.908941914939566e-05,-0.0024212989856880612,-0.0013591389943250157,-0.025996558131157088
YEAR,2024,DELTA,STAGE_A_AND_CZSC_MINUS_STAGE_A_WITHOUT_CZSC,,,,,,,,,,,,,,,,,,-0.0072099577871928,0.009949363541578049,2.6433192243671688e-05,-0.003352782034236265,-0.0018820050019175616,-0.03620967241850792
YEAR,2025,COHORT,CZSC_ONLY_ALL,14163,14097,243,701,0.228062708377669,0.45059232460807264,0.32134496701425835,0.41214442789245936,0.42718308860041143,0.030817910263847358,0.056264613729492347,-0.0346227030197571,-0.055967619068564047,-0.003920721211216852,-0.009684666273204749,0.882666492758449,0.7367033401296198,,,,,,
YEAR,2025,COHORT,STAGE_A_TOP30,7290,7281,243,378,0.33800302156297213,0.5624227441285538,0.0995742343084741,0.43867600604312595,0.46367257244883947,0.04880297203493495,0.08832831210438193,-0.04920053177831715,-0.07648767879663858,-0.0024304079561358444,-0.008202852179612714,0.941881944639159,0.8181558313960419,,,,,,
YEAR,2025,COHORT,STAGE_A_AND_CZSC,1711,1711,241,219,0.3325540619520748,0.5669199298655757,0.1005260081823495,0.418468731735827,0.4628872004675628,0.04892922278562764,0.09139431764162775,-0.04898813492588361,-0.07603980034965911,-0.0026690418368129354,-0.008439946638764156,0.9355378589864778,0.8112652681015877,,,,,,
YEAR,2025,COHORT,STAGE_A_WITHOUT_CZSC,5579,5570,243,353,0.33967684021543987,0.5610412926391383,0.0992818671454219,0.4448833034111311,0.46391382405745063,0.04876419016160728,0.08738649245012203,-0.049265776125626645,-0.07662525869300876,-0.0023571040836334184,-0.008130021188659733,0.9438056065046903,0.8202485847850373,,,,,,
YEAR,2025,DELTA,CZSC_ONLY_ALL_MINUS_STAGE_A_TOP30,,,,,,,,,,,,,,,,,,-0.10994031318530312,-0.11183041952048112,0.02052005972807453,-0.03206369837488958,-0.0014818140935920349,-0.08145249126642207
YEAR,2025,DELTA,STAGE_A_AND_CZSC_MINUS_STAGE_A_TOP30,,,,,,,,,,,,,,,,,,-0.005448959610897308,0.004497185737021958,0.0004478784469794661,0.003066005537245828,-0.00023709445915144275,-0.006890563294454144
YEAR,2025,DELTA,STAGE_A_AND_CZSC_MINUS_STAGE_A_WITHOUT_CZSC,,,,,,,,,,,,,,,,,,-0.007122778263365048,0.005878637226437444,0.0005854583433496513,0.004007825191505721,-0.0003099254501044233,-0.008983316683449538
OVERALL,2020_2025,COHORT,CZSC_ONLY_ALL,103761,103431,1457,1382,0.22414943295530354,0.42091829335499026,0.3549322736897062,0.4344152140074059,0.44521468418559235,0.02941505842108243,0.054025133874261104,-0.03357957149308211,-0.05303709896873977,-0.002296837736282249,-0.008070152549987364,0.9281973172898172,0.7709446295963851,,,,,,
OVERALL,2020_2025,COHORT,STAGE_A_TOP30,43770,43596,1459,1080,0.3487017157537389,0.5520001835030737,0.09929810074318744,0.4540095421598312,0.46109734838058536,0.052073773045839954,0.0935125785619174,-0.04921727325382544,-0.07672440961088461,-0.0008395327274548399,-0.006621355568564048,0.9799790104439675,0.8533488419961762,,,,,,
OVERALL,2020_2025,COHORT,STAGE_A_AND_CZSC,10564,10508,1443,836,0.33764750666159116,0.5637609440426342,0.09859154929577464,0.4386181956604492,0.449371907118386,0.05074750010327639,0.09059728936448738,-0.049410001324017884,-0.07539962062902894,-0.003066420703748136,-0.008835172560083685,0.9281782585337756,0.8079231218045833,,,,,,
OVERALL,2020_2025,COHORT,STAGE_A_WITHOUT_CZSC,33206,33088,1459,1050,0.3522122823984526,0.5482652321083172,0.09952248549323017,0.4588974854932302,0.464821083172147,0.05249496731809752,0.09443840843639137,-0.04915606718027665,-0.07714513261080422,-0.00013232350190811763,-0.005918297391977721,0.9968260556425327,0.8681340426765839,,,,,,
OVERALL,2020_2025,DELTA,CZSC_ONLY_ALL_MINUS_STAGE_A_TOP30,,,,,,,,,,,,,,,,,,-0.12455228279843533,-0.1310818901480834,0.023687310642144847,-0.039487444687656297,-0.0014487969814233155,-0.08240421239979112
OVERALL,2020_2025,DELTA,STAGE_A_AND_CZSC_MINUS_STAGE_A_TOP30,,,,,,,,,,,,,,,,,,-0.011054209092147715,0.011760760539560544,0.0013247889818556735,-0.0029152891974300182,-0.0022138169915196368,-0.045425720191592966
OVERALL,2020_2025,DELTA,STAGE_A_AND_CZSC_MINUS_STAGE_A_WITHOUT_CZSC,,,,,,,,,,,,,,,,,,-0.014564775736861435,0.01549571193431698,0.0017455119817752773,-0.0038411190719039867,-0.0029168751681059634,-0.06021092087200064
