stock_id,stock_name,discovery_quality_score,liquidity_component,continuity_component,behavior_stability_component,tradable_volatility_component,gap_safety_component,trend_structure_quality_component,future_outcomes_used_for_universe_selection,industry_used_for_score_cluster_or_selection,discovery_quality_rank
2324,仁寶,0.5474242424242425,0.2606060606060606,0.5666666666666667,0.8303030303030303,0.12626262626262624,0.9818181818181818,0.8575757575757575,False,False,73
1216,統一,0.5453535353535354,0.5333333333333333,0.5666666666666667,0.9272727272727272,0.10101010101010102,0.9636363636363636,0.017171717171717196,False,False,74
5347,世界,0.5447979797979798,0.6,0.5666666666666667,0.4666666666666667,0.702020202020202,0.35151515151515156,0.47676767676767684,False,False,75
3596,智易,0.543939393939394,0.15151515151515152,0.5666666666666667,0.8121212121212121,0.6161616161616161,0.696969696969697,0.6818181818181819,False,False,76
2458,義隆,0.5437373737373737,0.4727272727272727,0.5666666666666667,0.49696969696969695,0.5151515151515151,0.6666666666666667,0.6888888888888889,False,False,77
6104,創惟,0.5431313131313131,0.6606060606060606,0.5666666666666667,0.18181818181818177,1.0,0.054545454545454564,0.7282828282828284,False,False,78
2347,聯強,0.5415151515151515,0.07272727272727272,0.5666666666666667,0.896969696969697,0.2828282828282829,0.9030303030303031,0.9787878787878788,False,False,79
3374,精材,0.5403030303030303,0.6060606060606061,0.5666666666666667,0.296969696969697,1.0,0.18181818181818177,0.4787878787878788,False,False,80
2886,兆豐金,0.5389393939393939,0.6303030303030303,0.5666666666666667,0.47878787878787876,0.045454545454545456,0.9575757575757575,0.696969696969697,False,False,81
1102,亞泥,0.5383333333333333,0.2545454545454545,0.5666666666666667,0.8606060606060606,0.11616161616161616,0.9515151515151515,0.7666666666666666,False,False,82
4919,新唐,0.5364646464646465,0.793939393939394,0.5666666666666667,0.1454545454545455,1.0,0.18787878787878787,0.2676767676767677,False,False,83
2301,光寶科,0.5354545454545455,0.3393939393939394,0.5666666666666667,0.8545454545454545,0.29292929292929293,0.793939393939394,0.43030303030303035,False,False,84
2455,全新,0.5344444444444444,0.16363636363636364,0.5666666666666667,0.5393939393939393,1.0,0.509090909090909,0.7141414141414142,False,False,85
9914,美利達,0.5343939393939394,0.07878787878787878,0.5666666666666667,0.7818181818181819,0.8131313131313131,0.6484848484848484,0.5818181818181818,False,False,86
8454,富邦媒,0.5324242424242425,0.3939393939393939,0.5666666666666667,0.33939393939393936,1.0,0.4424242424242424,0.5848484848484848,False,False,87
8086,宏捷科,0.5322222222222223,0.49696969696969695,0.10303030303030303,0.5333333333333333,1.0,0.38787878787878793,0.9191919191919193,False,False,88
3680,家登,0.5315151515151515,0.24848484848484848,0.5666666666666667,0.6727272727272727,1.0,0.20606060606060606,0.509090909090909,False,False,89
3042,晶技,0.5296969696969697,0.4666666666666667,0.5666666666666667,0.20606060606060606,0.8080808080808081,0.6787878787878787,0.693939393939394,False,False,90
9921,巨大,0.5296464646464647,0.23636363636363636,0.5666666666666667,0.703030303030303,0.6212121212121212,0.6060606060606061,0.6282828282828283,False,False,91
6443,元晶,0.5281818181818182,0.5212121212121212,0.5666666666666667,0.36363636363636365,1.0,0.08484848484848484,0.5333333333333333,False,False,92
8016,矽創,0.5281818181818182,0.4121212121212121,0.5666666666666667,0.1636363636363637,1.0,0.4242424242424242,0.8666666666666667,False,False,93
6213,聯茂,0.5258585858585859,0.2787878787878788,0.5666666666666667,0.509090909090909,0.7676767676767677,0.6424242424242423,0.6161616161616161,False,False,94
8436,大江,0.5239393939393939,0.13333333333333333,0.5666666666666667,0.4303030303030303,0.8383838383838383,0.6545454545454545,1.0,False,False,95
2883,凱基金,0.5227272727272727,0.503030303030303,0.5666666666666667,0.33333333333333337,0.25252525252525254,0.8606060606060606,0.9303030303030303,False,False,96
2912,統一超,0.5224242424242425,0.3575757575757576,0.5666666666666667,0.9393939393939394,0.09090909090909091,0.9939393939393939,0.18787878787878787,False,False,97
3532,台勝科,0.5209090909090909,0.3151515151515151,0.5666666666666667,0.2787878787878788,1.0,0.32121212121212117,0.9090909090909091,False,False,98
3293,鈊象,0.5193939393939394,0.593939393939394,0.5666666666666667,0.21818181818181814,0.595959595959596,0.7151515151515151,0.5303030303030303,False,False,99
6531,愛普*,0.516969696969697,0.8787878787878788,0.05454545454545454,0.2606060606060606,1.0,0.048484848484848464,0.793939393939394,False,False,100
3515,華擎,0.5142424242424243,0.06666666666666667,0.5666666666666667,0.6606060606060606,1.0,0.296969696969697,0.7242424242424242,False,False,101
5425,台半,0.5141414141414141,0.4484848484848485,0.5666666666666667,0.23636363636363633,1.0,0.2909090909090909,0.6232323232323232,False,False,102
1326,台化,0.5137373737373738,0.3878787878787879,0.5666666666666667,0.8,0.16161616161616163,0.8666666666666667,0.32525252525252524,False,False,103
2327,國巨*,0.5124242424242424,0.9454545454545454,0.006060606060606061,0.4484848484848485,0.787878787878788,0.303030303030303,0.3666666666666667,False,False,104
3016,嘉晶,0.5097979797979798,0.2,0.5666666666666667,0.6,1.0,0.4545454545454546,0.3101010101010101,False,False,105
3665,貿聯-KY,0.5082070707070707,0.45454545454545453,0.10303030303030303,0.7090909090909091,0.7247474747474747,0.6303030303030304,0.604040404040404,False,False,106
3413,京鼎,0.5011111111111111,0.12121212121212122,0.5666666666666667,0.5515151515151515,0.9393939393939394,0.4363636363636364,0.6262626262626263,False,False,107
9904,寶成,0.500909090909091,0.10303030303030303,0.5666666666666667,0.9212121212121213,0.38383838383838387,0.8484848484848485,0.3515151515151515,False,False,108
9910,豐泰,0.5008585858585859,0.012121212121212121,0.5666666666666667,0.9333333333333333,0.6212121212121213,0.593939393939394,0.45252525252525255,False,False,109
6182,合晶,0.4985858585858586,0.5151515151515151,0.5666666666666667,0.16969696969696968,1.0,0.2606060606060606,0.4646464646464647,False,False,110
1402,遠東新,0.4971717171717172,0.08484848484848485,0.5666666666666667,0.9939393939393939,0.19191919191919193,0.8909090909090909,0.45959595959595967,False,False,111
2892,第一金,0.4921212121212121,0.3696969696969697,0.5666666666666667,0.6121212121212121,0.020202020202020204,0.9696969696969697,0.6393939393939394,False,False,112
2002,中鋼,0.4915151515151515,0.7696969696969697,0.5666666666666667,0.08484848484848484,0.26262626262626265,0.8121212121212121,0.4818181818181818,False,False,113
