period,setup,tail_case,removed_fraction_of_winners,removed_winners,remaining_evaluable,average_gross_return,median_gross_return,gross_profit_factor,average_net_return,median_net_return,net_profit_factor,tail_dependent,TAIL_DEPENDENT,net_tail_dependent
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,N_RETEST,ORIGINAL,0.0,0,597,0.00359146443416149,-0.011299435028248594,1.1277400095770693,-0.002215734921938845,-0.01704187890647525,0.9291480377289728,False,False,False
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,N_RETEST,REMOVE_TOP_1PCT_WINNERS,0.01,3,594,0.0026911021454318223,-0.01275240547499662,1.0952352378284327,-0.0031108894777349357,-0.01848557839777404,0.9010238000000658,False,False,False
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,N_RETEST,REMOVE_TOP_5PCT_WINNERS,0.05,13,584,-2.770713370491083e-05,-0.014104400413782137,0.9990359812280964,-0.005813920224981145,-0.019805893487572744,0.8181381249761119,False,False,False
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,N_COMPACT_RETEST_HYPOTHESIS,ORIGINAL,0.0,0,79,0.028133743570628655,0.053097345132743445,2.2355634005164613,0.02218325695218491,0.04700370232743198,1.8751220632935464,False,False,False
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,N_COMPACT_RETEST_HYPOTHESIS,REMOVE_TOP_1PCT_WINNERS,0.01,1,78,0.026196416141805078,0.043621843298079055,2.1359177939905107,0.020257170135918406,0.037583660376536154,1.7890229046780692,False,False,False
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,N_COMPACT_RETEST_HYPOTHESIS,REMOVE_TOP_5PCT_WINNERS,0.05,3,76,0.023135705637627672,0.03143487285936697,1.9774774823629218,0.017214432268897212,0.025472867214900267,1.653314848307759,False,False,False
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,MOMENTUM_DIRECTIONAL,ORIGINAL,0.0,0,2536,-0.0015431124872742796,-0.05119090586490421,0.9609531325353207,-0.007320711109426019,-0.05667660843810449,0.829003998946706,False,False,False
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,MOMENTUM_DIRECTIONAL,REMOVE_TOP_1PCT_WINNERS,0.01,10,2526,-0.002277748484160246,-0.05126328039944433,0.942591199087855,-0.008051130543371601,-0.0567398065489527,0.8126845282184405,False,False,False
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,MOMENTUM_DIRECTIONAL,REMOVE_TOP_5PCT_WINNERS,0.05,50,2486,-0.005093604499120804,-0.05154639175257736,0.8736527748947293,-0.010850587834029384,-0.05703477242153039,0.751550671693527,False,False,False
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,TREND_PULLBACK,ORIGINAL,0.0,0,5004,-0.00234286306156023,-0.019754012375397145,0.926264918709804,-0.008115796014284296,-0.025436199224725013,0.7685642078848159,False,False,False
